query_template,min_exec_time, max_exec_time,avg_exec_time,std_exec_time
q19,0.22143840789794922,0.9671072959899902,0.5942728519439697,0.3728344440460205

q20,2.3121280670166016,7.86391544342041,5.088021755218506,2.7758936882019043

q5,8.778912544250488,12.140086889266968,10.459499716758728,1.6805871725082397

q13,10.230684280395508,11.448169946670532,10.83942711353302,0.6087428331375122

q6,8.877915620803833,13.292178392410278,11.085047006607056,2.2071313858032227

q21,10.241087913513184,17.279947996139526,13.760517954826355,3.5194300413131714

q4,15.571472644805908,20.379982233047485,17.975727438926697,2.4042547941207886

q11,22.33326506614685,27.323878526687622,24.828571796417236,2.4953067302703857

q1,20.103158712387085,56.026514768600464,38.064836740493774,17.96167802810669

q17,44.20461630821228,48.278533935546875,46.24157512187958,2.0369588136672974

q8,5.934570074081421,102.49367070198059,54.214120388031006,48.279550313949585

q14,8.700822591781616,118.17346596717834,63.43714427947998,54.736321687698364

q16,13.084513187408447,118.62703657150269,65.85577487945557,52.77126169204712

q7,10.533988952636719,128.80745029449463,69.67071962356567,59.136730670928955

q2,21.774073362350464,123.35632491111755,72.56519913673401,50.791125774383545

q12,14.358491659164429,139.53698563575745,76.94773864746094,62.58924698829651

q9,17.559303760528564,145.72701811790466,81.64316093921661,64.08385717868805

q10,13.062971830368042,157.63267421722412,85.34782302379608,72.28485119342804

q3,13.202522039413452,163.73981070518494,88.4711663722992,75.26864433288574

q18,58.70565986633301,190.42257714271545,124.56411850452423,65.85845863819122

